ID,source,valence,arousal,old_fname,visVal,visArous
2541,SMID,5.488,3.47200234535327,NaN,4.0324,4.961
4328,OASIS,5.35377454003346,1.74295974226607,NaN,4.1075,3.8094
4257,SMID,5.606,3.28437408384638,NaN,4.1105,5.4646
2152,SMID,4.42,2.60891234242158,NaN,4.1488,4.8484
3295,SMID,5.512,2.22661975960129,NaN,4.1509,4.8471
918,IAPS,5.06367583212735,2.83303730017762,7038,4.1579,4.8768
3923,SMID,4.936,2.99589563177954,NaN,4.1656,5.0182
564,EmoPics,5.61635220125786,1.7646017699115,304,4.2021,4.9988
3918,SMID,4.928,1.79272940486661,NaN,4.2071,4.1503
4510,OASIS,5.50475211450835,1.68643400582947,NaN,4.2654,4.8935
4512,OASIS,4.62177857113514,1.59006225960123,NaN,4.2844,3.2736
253,EmoPics,5.26415094339623,2.09026548672566,188,4.2929,5.42
5215,EmoMadrid,4.8695652173913,2.45161290322581,NaN,4.3031,4.9925
3854,SMID,5.514,2.50806215186162,NaN,4.3347,4.9199
6478,GAPED,5.21166970088382,3.38601518180033,NaN,4.3372,4.5603
5115,EmoMadrid,5.03260869565217,2.2258064516129,NaN,4.3452,4.9471
3469,SMID,4.542,3.17883318674875,NaN,4.3455,5.0456
4393,OASIS,5.18099514890211,3.34402805326369,NaN,4.3529,4.9056
906,IAPS,5.31837916063676,1.39786856127886,7004,4.3546,5.5382
251,EmoPics,5.38993710691824,2.07610619469027,186,4.3717,4.6526
5093,EmoMadrid,4.42391304347826,2.36559139784946,NaN,4.3718,4.9734
7110,OASIS,5.43117098663709,1.35877006785937,NaN,4.3803,3.9061
677,EmoPics,5.20125786163522,1.75044247787611,375,4.3813,5.311
1765,SMID,4.63,3.103781882146,NaN,4.3837,4.6026
2169,SMID,4.734,3.00527704485488,NaN,4.3847,4.1379
1858,SMID,5.376,2.98885957197303,NaN,4.3904,4.7553
213,EmoPics,5.15094339622642,1.53805309734513,161,4.4008,4.5556
5107,EmoMadrid,4.66304347826087,1.50537634408602,NaN,4.4068,4.6115
6459,GAPED,4.94284145113554,3.25790574343451,NaN,4.407,4.7757
4459,OASIS,5.48816029138213,1.23587223551616,NaN,4.4093,5.0078
8001,OASIS,5.28400872940822,1.28167266928858,NaN,4.4215,4.0824
7439,OASIS,5.37230608285374,1.4551418140876,NaN,4.4229,4.4127
7438,OASIS,4.65755919907074,2.2972972963315,NaN,4.4264,4.899
510,EmoPics,5.47798742138365,2.6283185840708,276,4.4433,5.1292
6068,OASIS,5.46060343778559,2.34176188574018,NaN,4.4457,4.9908
7941,OASIS,4.86156648511021,2.71007371096634,NaN,4.4548,4.5266
220,EmoPics,5.35220125786164,1.42477876106195,165,4.4565,5.5708
6470,GAPED,5.35649847950124,2.57447054337905,NaN,4.4589,4.0611
6530,SFIP,5.47284345047923,2,NaN,4.4653,5.3072
6503,SFIP,4.52715654952077,2,NaN,4.471,5.0971
4373,OASIS,5.53187613881525,1.23587223551616,NaN,4.4744,3.7177
5213,EmoMadrid,4.54347826086957,2.09677419354839,NaN,4.4884,5.1877
7939,OASIS,5.32786885277578,1.64864864816575,NaN,4.4919,3.6835
6477,GAPED,5.13307161091504,2.62216496632044,NaN,4.4923,4.6695
3802,SMID,5.142,2.25710935209616,NaN,4.4972,4.6654
5240,EmoMadrid,5.05434782608696,1.54838709677419,NaN,4.5044,4.8002
586,EmoPics,5.51572327044025,2.79823008849558,311,4.5082,4.7626
935,IAPS,5.58465991316932,1.85257548845471,7080,4.5125,4.2523
3951,SMID,4.888,3.11081794195251,NaN,4.5162,4.2377
5062,EmoMadrid,4.56521739130435,1.2258064516129,NaN,4.5163,4.3924
914,IAPS,5.21418234442837,2.90408525754885,7034,4.5186,5.0692
7436,OASIS,5.38702230991433,1.85990315062849,NaN,4.5279,4.8864
2283,SMID,4.518,2.84344766930519,NaN,4.5284,5.3823
7983,OASIS,5.00728597556308,2.31695331777766,NaN,4.5321,3.654
3399,SMID,4.936,2.76839636470243,NaN,4.5339,4.6463
912,IAPS,4.91316931982634,2.80461811722913,7030,4.5374,4.8528
4469,OASIS,5.24367536993149,2.23927423861715,NaN,4.5457,4.7187
966,IAPS,4.63531114327062,2.54884547069272,7224,4.5505,3.8282
4511,OASIS,5.29872495498247,1.4324324321105,NaN,4.5565,3.9066
268,EmoPics,5.40251572327044,1.63716814159292,195,4.5572,4.9271
4108,SMID,4.38,3.09440046907065,NaN,4.5654,4.5557
4401,OASIS,5.32624974825113,1.57115857152122,NaN,4.5736,3.9232
4065,SMID,5.13,2.84344766930519,NaN,4.5783,5.1217
3844,SMID,5.294,3.32659044268543,NaN,4.5816,4.4589
2426,SMID,5.134,2.53151568454999,NaN,4.582,4.5556
7437,OASIS,5.1886257848805,1.76204876212005,NaN,4.5957,4.2281
1882,SMID,5.334,3.0779829961888,NaN,4.5985,3.8923
4402,OASIS,5.31248735087363,1.74295974226607,NaN,4.6051,4.1768
