,url,fname,val_type
0,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/0224.jpg,0224.jpg,pos
1,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/7678.jpg,7678.jpg,pos
2,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/2506.jpg,2506.jpg,pos
3,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/6354.jpg,6354.jpg,pos
4,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/0662.jpg,0662.jpg,pos
5,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/6435.jpg,6435.jpg,pos
6,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/4635.jpg,4635.jpg,pos
7,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/5054.jpg,5054.jpg,pos
8,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/1613.jpg,1613.jpg,pos
9,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/0400.jpg,0400.jpg,pos
10,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/5049.jpg,5049.jpg,pos
11,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/0132.jpg,0132.jpg,pos
12,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/0302.jpg,0302.jpg,pos
13,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/3203.jpg,3203.jpg,pos
14,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/2427.jpg,2427.jpg,pos
15,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/1764.jpg,1764.jpg,pos
16,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/7918.jpg,7918.jpg,pos
17,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/4684.jpg,4684.jpg,pos
18,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/6409.jpg,6409.jpg,pos
19,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/0928.jpg,0928.jpg,pos
20,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/2322.jpg,2322.jpg,pos
21,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/0170.jpg,0170.jpg,pos
22,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/6535.jpg,6535.jpg,pos
23,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/1593.jpg,1593.jpg,pos
24,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/7406.jpg,7406.jpg,pos
25,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/6413.jpg,6413.jpg,pos
26,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/7114.jpg,7114.jpg,pos
27,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/0605.jpg,0605.jpg,pos
0,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/neg-upright/7898.jpg,7898.jpg,neg
1,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/neg-upright/0906.jpg,0906.jpg,neg
2,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/neg-upright/0918.jpg,0918.jpg,neg
3,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/neg-upright/1630.jpg,1630.jpg,neg
4,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/neg-upright/4402.jpg,4402.jpg,neg
5,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/neg-upright/7939.jpg,7939.jpg,neg
6,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/neg-upright/0912.jpg,0912.jpg,neg
7,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/neg-upright/4373.jpg,4373.jpg,neg
